assumption_id,project_id,reporting_date,statement,owner_id,review_date,status
P01-AS1,P01,2026-07-06,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-07-13,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-07-20,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-07-27,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-08-03,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-08-10,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-08-17,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-08-24,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-08-31,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-09-07,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-09-14,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P01-AS1,P01,2026-09-21,Sponsor provides review capacity within the agreed window,SP01,2026-09-28,Validated
P02-AS1,P02,2026-07-06,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-07-13,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-07-20,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-07-27,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-08-03,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-08-10,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-08-17,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-08-24,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-08-31,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-09-07,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-09-14,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P02-AS1,P02,2026-09-21,Sponsor provides review capacity within the agreed window,SP02,2026-09-28,Validated
P03-AS1,P03,2026-07-06,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-07-13,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-07-20,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-07-27,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-08-03,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-08-10,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-08-17,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-08-24,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-08-31,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-09-07,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-09-14,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P03-AS1,P03,2026-09-21,Sponsor provides review capacity within the agreed window,SP03,2026-09-28,To validate
P04-AS1,P04,2026-07-06,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-07-13,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-07-20,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-07-27,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-08-03,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-08-10,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-08-17,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-08-24,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-08-31,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-09-07,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-09-14,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P04-AS1,P04,2026-09-21,Sponsor provides review capacity within the agreed window,SP04,2026-09-28,Validated
P05-AS1,P05,2026-07-06,Sponsor provides review capacity within the agreed window,SP05,2026-09-28,Validated
P05-AS1,P05,2026-07-13,Sponsor provides review capacity within the agreed window,SP05,2026-09-28,Validated
P05-AS1,P05,2026-07-20,Sponsor provides review capacity within the agreed window,SP05,2026-09-28,Validated
P05-AS1,P05,2026-07-27,Sponsor provides review capacity within the agreed window,SP05,2026-09-28,Validated
